date_vente,agence_code,region,type_forfait,quantite,montant_fcfa,client_segment,commercial_email
2026-04-01,AG-ABJ-5011,Bouaké,fiber,157,11831991,,p.yao@orange.ci
2026-04-01,AG-ABJ-6733,Abidjan,postpaid,167,2420832,B2C,f.bamba@orange.ci
2026-04-01,AG-DAL-4608,Abidjan,prepaid,19,258343,B2B,a.diallo@orange.ci
2026-04-01,AG-MAN-5345,Gagnoa,fiber,74,3901428,B2B,f.bamba@orange.ci
2026-04-01,AG-MAN-9031,Gagnoa,prepaid,111,880674,B2B,p.yao@orange.ci
2026-04-02,AG-DAL-2290,Bouaké,prepaid,188,1872856,B2B,m.toure@orange.ci
2026-04-02,AG-DAL-5720,Bouaké,data_only,180,3577860,B2B,y.coulibaly@orange.ci
2026-04-02,AG-KOR-2160,Daloa,postpaid,72,3010464,B2B,n.bakayoko@orange.ci
2026-04-02,AG-KOR-3153,Man,prepaid,76,558752,B2B,f.bamba@orange.ci
2026-04-02,AG-SAN-3068,San-Pédro,fiber,27,696681,,n.bakayoko@orange.ci
2026-04-03,AG-ABJ-3718,San-Pédro,data_only,153,4519773,,a.diallo@orange.ci
2026-04-03,AG-ABJ-8508,Daloa,prepaid,19,205352,VIP,m.toure@orange.ci
2026-04-03,AG-DAL-2654,Korhogo,fiber,72,3939408,B2B,s.kone@orange.ci
2026-04-03,AG-DAL-2858,Yamoussoukro,fiber,31,2090888,,y.coulibaly@orange.ci
2026-04-03,AG-MAN-4945,Daloa,fiber,150,5156850,,y.coulibaly@orange.ci
2026-04-03,AG-MAN-5533,Yamoussoukro,prepaid,1,7464,VIP,m.toure@orange.ci
2026-04-03,AG-SAN-6753,Korhogo,fiber,174,10464534,B2C,a.diallo@orange.ci
2026-04-03,AG-SAN-6925,Abidjan,postpaid,181,2634998,B2B,y.coulibaly@orange.ci
2026-04-03,AG-SAN-8385,Man,postpaid,193,7807815,VIP,k.kouassi@orange.ci
2026-04-04,AG-DAL-1651,Korhogo,prepaid,108,1379160,VIP,f.bamba@orange.ci
2026-04-04,AG-DAL-7248,San-Pédro,data_only,148,2174860,B2C,p.yao@orange.ci
2026-04-04,AG-DAL-8724,Korhogo,prepaid,159,1780482,B2B,a.diallo@orange.ci
2026-04-04,AG-GAG-2233,Man,postpaid,194,4808290,VIP,a.diallo@orange.ci
2026-04-04,AG-KOR-6635,Gagnoa,data_only,12,346932,B2C,p.yao@orange.ci
2026-04-04,AG-MAN-4697,San-Pédro,fiber,116,6265624,,y.coulibaly@orange.ci
2026-04-04,AG-SAN-6573,Yamoussoukro,prepaid,76,693348,,k.kouassi@orange.ci
2026-04-05,AG-DAL-7275,Bouaké,postpaid,181,4347801,,p.yao@orange.ci
2026-04-05,AG-DAL-9702,Yamoussoukro,fiber,145,10103890,B2B,m.toure@orange.ci
2026-04-05,AG-GAG-3977,Korhogo,prepaid,67,550137,B2B,n.bakayoko@orange.ci
2026-04-05,AG-GAG-9702,Man,data_only,194,3783388,,m.toure@orange.ci
2026-04-05,AG-KOR-9697,Gagnoa,data_only,43,577060,VIP,s.kone@orange.ci
2026-04-05,AG-MAN-3529,San-Pédro,prepaid,121,1791284,VIP,p.yao@orange.ci
2026-04-06,AG-ABJ-6310,Korhogo,fiber,5,161655,VIP,f.bamba@orange.ci
2026-04-06,AG-MAN-8956,Abidjan,fiber,55,2820510,B2B,p.yao@orange.ci
2026-04-06,AG-SAN-7653,Daloa,prepaid,78,522600,,s.kone@orange.ci
2026-04-06,AG-SAN-9817,San-Pédro,fiber,120,6425400,VIP,f.bamba@orange.ci
2026-04-06,AG-YAM-7755,Korhogo,prepaid,46,647082,,f.bamba@orange.ci
2026-04-07,AG-ABJ-3496,Bouaké,postpaid,33,1354155,B2B,n.bakayoko@orange.ci
2026-04-07,AG-DAL-2684,Man,data_only,200,4669200,B2B,f.bamba@orange.ci
2026-04-07,AG-DAL-8933,San-Pédro,data_only,186,4523334,B2C,f.bamba@orange.ci
2026-04-07,AG-DAL-9786,Yamoussoukro,fiber,36,1895328,VIP,n.bakayoko@orange.ci
2026-04-07,AG-YAM-2143,Korhogo,data_only,198,3682008,VIP,k.kouassi@orange.ci
2026-04-08,AG-BKE-8260,Abidjan,prepaid,13,164892,B2C,f.bamba@orange.ci
2026-04-08,AG-GAG-7669,Man,postpaid,25,408800,VIP,p.yao@orange.ci
2026-04-08,AG-SAN-4727,Bouaké,prepaid,112,404544,,m.toure@orange.ci
2026-04-08,AG-SAN-8140,Korhogo,fiber,8,403872,,m.toure@orange.ci
2026-04-08,AG-YAM-2229,Gagnoa,postpaid,1,36772,,y.coulibaly@orange.ci
2026-04-09,AG-ABJ-1803,Daloa,fiber,74,5612012,VIP,f.bamba@orange.ci
2026-04-09,AG-KOR-3749,San-Pédro,prepaid,200,936600,B2C,k.kouassi@orange.ci
2026-04-09,AG-SAN-5118,Korhogo,postpaid,31,701251,B2C,m.toure@orange.ci
2026-04-09,AG-YAM-2771,Daloa,fiber,10,558470,B2B,n.bakayoko@orange.ci
2026-04-09,AG-YAM-5349,Man,prepaid,28,329672,VIP,s.kone@orange.ci
2026-04-09,AG-YAM-8141,Korhogo,fiber,24,1339248,,s.kone@orange.ci
2026-04-09,AG-YAM-9317,Daloa,prepaid,161,1109129,B2B,s.kone@orange.ci
2026-04-10,AG-ABJ-1753,Korhogo,data_only,15,219195,VIP,p.yao@orange.ci
